"Accession","pvalue","for_change","Type","Values"
"O35945",0.0711684617478322,-0.566666666666667,"BALB.cJ_300",-0.96
"Q9EPC1",0.0371437780024259,0.336666666666667,"BALB.cJ_300",0.08
"Q9D7A8",0.0083166200893705,-0.266666666666667,"BALB.cJ_300",-0.03
"Q8R3F5",0.0267484479680629,-0.15,"BALB.cJ_300",-0.12
"P45952",0.107470240025121,0.24,"BALB.cJ_300",0.02
"Q9CSU0",0.280631461018038,-0.126666666666667,"BALB.cJ_300",0.08
"Q99LC5",0.00862096502588309,-0.12,"BALB.cJ_300",-0.05
"Q3URE1",0.482639711803241,0.136666666666667,"BALB.cJ_300",-0.54
"Q8R104",0.288275453824929,-0.4,"BALB.cJ_300",-0.45
"Q8R1F5",0.23242925763023,-0.473333333333333,"BALB.cJ_300",-0.22
"Q8VCQ8",0.000218303408616034,1.37,"BALB.cJ_300",0.18
"P12970",0.128539638110787,0.31,"BALB.cJ_300",0.27
"Q3UQ44",0.380079229603291,-0.06,"BALB.cJ_300",-0.27
"O70475",0.0061152561514455,0.92,"BALB.cJ_300",0.76
"P40936",0.00304445665396849,-1.02666666666667,"BALB.cJ_300",-1.37
"Q8BH59",0.184443947236766,0.383333333333333,"BALB.cJ_300",0.69
"A0A0A6YWB0",0.144083722851666,-0.146666666666667,"BALB.cJ_300",0.05
"Q8BMA6",0.583195049091294,-0.0933333333333333,"BALB.cJ_300",-0.19
"E9Q456",0.143444629177852,0.633333333333333,"BALB.cJ_300",0.06
"P70670",0.750731005978252,0.0433333333333333,"BALB.cJ_300",0.22
"Q64523",0.146332690737398,0.49,"BALB.cJ_300",0.21
"P43274",0.369470787002511,0.463333333333333,"BALB.cJ_300",-0.02
"Q9EQF5",0.0249997418498518,0.596666666666667,"BALB.cJ_300",-0.27
"Q9CQR4",0.234600771522669,-0.186666666666667,"BALB.cJ_300",-0.34
"B2RXS4",0.109379618046943,0.21,"BALB.cJ_300",-0.06
"Q9DCL9",0.355658643798393,-0.19,"BALB.cJ_300",-0.27
"Q91WD5",0.189899752233717,0.0766666666666667,"BALB.cJ_300",0.08
"Q8VCC2",0.0132766213106841,-0.396666666666667,"BALB.cJ_300",-0.29
"Q9QZD8",0.0204418127391249,-0.246666666666667,"BALB.cJ_300",-0.4
"P49722",0.319539983033347,0.123333333333333,"BALB.cJ_300",0.03
"P20029",0.357044189092697,-0.06,"BALB.cJ_300",0.18
"E9PVP0",0.0966254805645573,-0.0766666666666667,"BALB.cJ_300",-0.08
"P61027",0.71903772456881,-0.04,"BALB.cJ_300",-0.24
"P56399",0.0538014750796587,0.113333333333333,"BALB.cJ_300",0.12
"Q64727",0.125288246205912,0.12,"BALB.cJ_300",-0.06
"Q62318",0.514947642424936,0.193333333333333,"BALB.cJ_300",0.06
"Q9D7J9",0.138237434061063,-0.0933333333333333,"BALB.cJ_300",-0.13
"P46735",0.79002961711219,0.02,"BALB.cJ_300",0.1
"E9Q1G8",0.914566832368683,0.01,"BALB.cJ_300",0.01
"O70325",0.0324238786258489,0.266666666666667,"BALB.cJ_300",0.21
"Q9Z1N5",0.296512573645679,0.0466666666666667,"BALB.cJ_300",0.09
"Q922R8",0.625199362958953,-0.0266666666666667,"BALB.cJ_300",0.29
"Q8K183",0.0678406835153382,0.243333333333333,"BALB.cJ_300",-0.01
"P09103",0.0214799728567733,-0.293333333333333,"BALB.cJ_300",-0.46
"Q9R0Q6",0.196056409070892,0.213333333333333,"BALB.cJ_300",-0.1
"A0A0R4J0B4",0.131670658118357,0.146666666666667,"BALB.cJ_300",0.22
"Q3UNZ8",0.0123717788015575,-0.76,"BALB.cJ_300",-0.38
"E9Q827",0.223682677307016,0.17,"BALB.cJ_300",0.23
"Q3TCH7",0.251209108803396,-0.113333333333333,"BALB.cJ_300",-0.06
"Q9Z0V7",0.722247018164053,0.166666666666667,"BALB.cJ_300",0.26
"Q924Z4",0.00291166907933111,-0.373333333333333,"BALB.cJ_300",-0.31
"P06909",0.979924540731757,-0.00333333333333335,"BALB.cJ_300",-0.13
"Q91ZP3",0.36585102289178,0.373333333333333,"BALB.cJ_300",0.55
"Q922B2",0.00515081993816408,-0.57,"BALB.cJ_300",-0.42
"P70349",0.381977277833886,-0.0766666666666667,"BALB.cJ_300",0.11
"P52480",0.603070085688623,0.12,"BALB.cJ_300",0.16
"O88908",0.737288257569145,0.136666666666667,"BALB.cJ_300",0.44
"Q99J77",0.775009661869193,0.0633333333333333,"BALB.cJ_300",0.08
"Q61937",0.127670297411324,0.126666666666667,"BALB.cJ_300",0.55
"E9QJT5",0.348885302455777,-0.163333333333333,"BALB.cJ_300",0.17
"Q3TCR7",0.921632102555627,0.0133333333333333,"BALB.cJ_300",-0.01
"Q8BL97",0.226090053001323,-0.183333333333333,"BALB.cJ_300",-0.01
"Q9CVB6",0.122947366393142,0.21,"BALB.cJ_300",0.02
"Q9D5T0",0.100124908646192,-0.306666666666667,"BALB.cJ_300",0.02
"Q9CQR2",0.771817300496456,0.0933333333333334,"BALB.cJ_300",-0.09
"Q9JII6",0.00976800771366883,0.25,"BALB.cJ_300",-0.14
"Q9DCP2",0.246019228811817,0.383333333333333,"BALB.cJ_300",-0.75
"Q8VDQ8",0.235786685943919,0.223333333333333,"BALB.cJ_300",0.05
"Q99LF4",0.353868779561715,0.0666666666666667,"BALB.cJ_300",-0.02
"Q3UE92",0.562789826232011,-0.0833333333333333,"BALB.cJ_300",0.17
"P43024",0.0279683609163526,0.406666666666667,"BALB.cJ_300",0.39
"Q6NSR8",0.151661232934842,0.406666666666667,"BALB.cJ_300",-0.07
"Q9WU84",0.778195198111354,0.07,"BALB.cJ_300",-0.24
"Q9EP72",0.628410794639295,0.443333333333333,"BALB.cJ_300",2.21
"Q99MR6",0.027537553520676,0.26,"BALB.cJ_300",0.09
"Q9DCS2",0.258880854903232,0.05,"BALB.cJ_300",0.15
"Q9EPE9",0.0490758965160788,-0.27,"BALB.cJ_300",-0.04
"Q99PG0",0.0136970577376885,-0.21,"BALB.cJ_300",-0.46
"Q61029",0.640291492137591,0.12,"BALB.cJ_300",-0.1
"P62821",0.043660952497197,0.423333333333333,"BALB.cJ_300",0.18
"Q64737",0.148676088569479,0.156666666666667,"BALB.cJ_300",0.09
"Q5RKZ7",0.0652847902635817,0.216666666666667,"BALB.cJ_300",0.16
"Q8BFY9",0.15591333640363,0.61,"BALB.cJ_300",0.12
"Q8R5I6",1,5.55111512312578e-17,"BALB.cJ_300",-0.35
"A0A0R4J140",0.60798560970591,0.0566666666666667,"BALB.cJ_300",0.01
"P45878",0.00820627996963679,-0.316666666666667,"BALB.cJ_300",-0.24
"Q9D5J6",0.691283057162336,-0.02,"BALB.cJ_300",-0.01
