"","uniprot","reaction","entrez"
"1","A0A023JBX1","ID	2.5.1.18",102146042
"2","A0A023JBX8","ID	2.5.1.18",102116720
"3","A0A023JCA5","ID	2.5.1.18",102114846
"4","A0A023JCC0","ID	2.5.1.18",102142998
"5","A0A023JCM9","ID	2.5.1.18",102145837
"6","A0A023JCN4","ID	2.5.1.18",102142224
"7","A0A023JCQ9","ID	2.5.1.18",102127774
"8","A0A023JCR5","ID	2.5.1.18",102127415
"9","A0A023JCR6","ID	2.5.1.18",700314
"10","A0A023NFQ4","ID	2.4.1.173",107914102
"11","A0A023NGA8","ID	2.4.1.173",107955254
"12","A0A024FSF5","ID	3.2.1.18",100690294
"13","A0A024R059","ID	2.3.3.10",3157
"14","A0A024R4F6","ID	2.1.1.100",23463
"15","A0A024R8M1","ID	2.4.99.3",10610
"16","A0A024TMA3","ID	1.1.99.24",20088482
"17","A0A031W9H6","ID	3.4.21.89",57299498
"18","A0A034VLA7","ID	3.1.1.1",105230315
"19","A0A034WP73","ID	1.6.2.4",105234048
"20","A0A060INS8","ID	3.4.22.16",102170638
"21","A0A060KYZ7","ID	2.4.1.15",101889052
"22","A0A060PLD2","ID	2.4.1.68",101745965
"23","A0A061D1S0","ID	3.1.1.2",61799862
"24","A0A061KWR9","ID	6.3.3.2",61755036
"25","A0A063CBY7","ID	1.14.19.45",61739083
"26","A0A067BRK4","ID	1.1.99.24",24135946
"27","A0A067K3N5","ID	5.3.3.2",105644876
"28","A0A067KVU1","ID	3.1.1.14",105632037
"29","A0A067L5U2","ID	1.11.1.6",105628554
"30","A0A067YF54","ID	5.5.1.19",107763207
"31","A0A068BIS3","ID	5.5.1.24",107806714
"32","A0A068Q609","ID	1.14.14.44",103337951
"33","A0A068Q7V0","ID	1.14.14.40",103330459
"34","A0A069BAT4","ID	2.1.2.1",56594916
"35","A0A072VHG0","ID	3.1.1.14",25482953
"36","A0A073KHN9","ID	1.7.1.6",58507939
"37","A0A075C1I3","ID	1.13.11.34",104930113
"38","A0A075W3Z0","ID	2.1.1.325",103523376
"39","A0A076IP90","ID	4.1.1.19",5302303
"40","A0A076IP90","ID	4.1.1.19",56614975
"41","A0A078FCE5","ID	2.6.1.96",106391515
"42","A0A078HJ76","ID	2.6.1.96",106439809
"43","A0A087EJQ5","ID	2.4.1.4",35775846
"44","A0A087INM7","ID	3.6.1.27",61921272
"45","A0A087IPJ7","ID	2.5.1.31",61923183
"46","A0A087QB11","ID	2.8.3.16",29639208
"47","A0A088QGQ9","ID	3.1.1.14",60738965
"48","A0A089QRB9","ID	2.3.1.252 ()",886055
"49","A0A089QRB9","ID	2.3.1.252 ()",886081
"50","A0A089RN78","ID	1.14.11.61",109235784
"51","A0A094XEM2","ID	4.1.1.18",56718907
"52","A0A096P2G1","ID	1.13.11.31|ID	1.13.11.33",101014249
"53","A0A096XDB7","ID	1.14.19.45",659322
"54","A0A097HUX0","ID	1.14.15.18",793309
"55","A0A097ZMY7","ID	1.1.1.218|ID	1.1.1.239",101842874
"56","A0A097ZMZ1","ID	1.1.1.51",101842245
"57","A0A098E0E9","ID	3.6.5.2",23552629
"58","A0A0A0K2U8","ID	4.2.1.92",101211574
"59","A0A0A0LNT6","ID	3.1.1.14",101203653
"60","A0A0A0PVL5","ID	1.1.1.219",101293459
"61","A0A0A0PXZ7","ID	1.1.1.219",101293749
"62","A0A0C1Q6R1","ID	1.1.1.202",56994088
"63","A0A0C4JZU4","ID	2.5.1.79",107961656
"64","A0A0C5AJS1","ID	3.1.3.2",543510
"65","A0A0D1BZQ4","ID	3.2.1.55",23564531
"66","A0A0D1DYW4","ID	1.1.1.60",23563305
"67","A0A0D1E1Z8","ID	1.14.13.1",23565177
"68","A0A0D1E3D1","ID	2.3.1.176",23567744
"69","A0A0D1E3F3","ID	2.6.1.27",23562703
"70","A0A0D2XPQ9","ID	3.2.1.143",28947886
"71","A0A0D3QS99","ID	3.1.1.98",444338
"72","A0A0D5ZBC4","ID	2.5.1.54",107905096
"73","A0A0D6HE46","ID	2.3.1.31",45743255
"74","A0A0D6HMN1","ID	3.5.1.25",45743695
"75","A0A0D6IQ82","ID	6.3.1.5",45745968
