From	To
A0A023JBX1	102146042
A0A023JBX8	102116720
A0A023JCA5	102114846
A0A023JCC0	102142998
A0A023JCM9	102145837
A0A023JCN4	102142224
A0A023JCQ9	102127774
A0A023JCR5	102127415
A0A023JCR6	700314
A0A023NFQ4	107914102
A0A023NGA8	107955254
A0A024FSF5	100690294
A0A024R059	3157
A0A024R4F6	23463
A0A024R8M1	10610
A0A024TMA3	20088482
A0A031W9H6	57299498
A0A034VLA7	105230315
A0A034WP73	105234048
A0A060INS8	102170638
A0A060KYZ7	101889052
A0A060PLD2	101745965
A0A061D1S0	61799862
A0A061KWR9	61755036
A0A063CBY7	61739083
A0A067BRK4	24135946
A0A067K3N5	105644876
A0A067KVU1	105632037
A0A067L5U2	105628554
A0A067YF54	107763207
A0A068BIS3	107806714
A0A068Q609	103337951
A0A068Q7V0	103330459
A0A069BAT4	56594916
A0A072VHG0	25482953
A0A073KHN9	58507939
A0A075C1I3	104930113
A0A075W3Z0	103523376
A0A076IP90	5302303
A0A076IP90	56614975
A0A078FCE5	106391515
A0A078HJ76	106439809
A0A087EJQ5	35775846
A0A087INM7	61921272
A0A087IPJ7	61923183
A0A087QB11	29639208
A0A088QGQ9	60738965
A0A089QRB9	886055
A0A089QRB9	886081
A0A089RN78	109235784
A0A094XEM2	56718907
A0A096P2G1	101014249
A0A096XDB7	659322
A0A097HUX0	793309
A0A097ZMY7	101842874
A0A097ZMZ1	101842245
A0A098E0E9	23552629
A0A0A0K2U8	101211574
A0A0A0LNT6	101203653
A0A0A0PVL5	101293459
A0A0A0PXZ7	101293749
A0A0C1Q6R1	56994088
A0A0C4JZU4	107961656
A0A0C5AJS1	543510
A0A0D1BZQ4	23564531
A0A0D1DYW4	23563305
A0A0D1E1Z8	23565177
A0A0D1E3D1	23567744
A0A0D1E3F3	23562703
A0A0D2XPQ9	28947886
A0A0D3QS99	444338
A0A0D5ZBC4	107905096
A0A0D6HE46	45743255
A0A0D6HMN1	45743695
A0A0D6IQ82	45745968
A0A0D6IWS7	45746462
A0A0D6UDD4	61199080
A0A0D7LLM5	60896530
A0A0D9RRD7	103227629
A0A0D9RYP7	103246815
A0A0E1EQ72	61439052
A0A0E1RWZ7	4559218
A0A0E3T3B5	103455259
A0A0E3T552	103409732
A0A0E4A9D6	48579950
A0A0E4A9D6	61557728
A0A0F6N3N1	26644605
A0A0F6PL61	101737915
A0A0F6SYT9	18598496
A0A0F6X2R5	18602344
A0A0F6ZN15	18592535
A0A0F6ZN93	18602347
A0A0F6ZQT3	18601170
A0A0F7X030	45050911
A0A0F8AU16	104920146
A0A0F8C7P8	104920470
A0A0G2K047	314800
A0A0G2K1W9	307858
A0A0G2K344	170911
A0A0G2K502	307270
A0A0G9FDC3	57026978
A0A0H2UNY1	60232921
A0A0H2UNY1	61430410
A0A0H2X4P0	58012255
A0A0H2YQB3	29570765
A0A0H2YQI3	29570764
A0A0H2YSI2	29572255
A0A0H2YSJ7	29570215
A0A0H2ZMY1	60232806
A0A0H2ZMY1	61429885
A0A0H2ZNP2	60233096
