"geneSymbol","diseaseName"
"A1BG","Hepatomegaly|Schizophrenia"
"A2M","Alzheimer's Disease|Malignant tumor of colon|Colonic Neoplasms|Presenile dementia|Mental Depression|Depressive disorder|Hepatolenticular Degeneration|Kidney Failure, Acute|Liver Cirrhosis|Liver Cirrhosis, Experimental|Lung diseases|Lung Neoplasms|Nephrotic Syndrome|Hepatocellular Adenoma|Fibrosis, Liver|Malignant neoplasm of lung|Familial Alzheimer Disease (FAD)|Alzheimer Disease, Late Onset|Acute Confusional Senile Dementia|Alzheimer's Disease, Focal Onset|Alzheimer Disease, Early Onset|Hepatic Form of Wilson Disease|Acute Kidney Insufficiency|Liver carcinoma|Acute kidney injury|alpha-2-Macroglobulin Deficiency"
"A2ML1","Noonan Syndrome|Otitis Media|LEOPARD Syndrome|Costello syndrome (disorder)|Cardio-facio-cutaneous syndrome|Noonan syndrome-like disorder with loose anagen hair|Noonan-Like Syndrome With Loose Anagen Hair"
"A4GALT","Burkitt Lymphoma|African Burkitt's lymphoma|Burkitt Leukemia"
"AAAS","Prostatic Neoplasms|Glucocorticoid deficiency with achalasia|Malignant neoplasm of prostate"
"AADAC","Liver Cirrhosis, Experimental"
"AADAT","Liver Cirrhosis, Experimental|Liver carcinoma"
"AAGAB","Punctate keratosis|Meleda Disease|Keratosis palmoplantaris papulosa|Keratoderma, Palmoplantar"
"AANAT","Depression, Bipolar|Mental Depression|Depressive disorder|Delayed Sleep Phase Syndrome|Nonorganic Sleep Wake Cycle Disorders|Advanced Sleep Phase Syndrome|Non-24 Hour Sleep-Wake Disorder|Shift-Work Sleep Disorder|Sleep Disorders, Circadian Rhythm"
"AARS1","Charcot-Marie-Tooth Disease, Axonal, Type 2n|EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 29"
"AARS2","OVARIOLEUKODYSTROPHY|COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 8|Hereditary Diffuse Leukoencephalopathy with Spheroids|LEUKOENCEPHALOPATHY, PROGRESSIVE, WITH OVARIAN FAILURE|Combined oxidative phosphorylation deficiency"
