"marker_symbol","impc_significant_parameter_name","gene_id"
"0610009B22Rik","Right total retinal thickness|Right inner nuclear layer|Response amplitude - S","66050"
"0610010K14Rik","Viability Outcome","104457"
"0610040J01Rik","Heart|Spleen|Mean cell volume|HDL-cholesterol|Triglycerides|Spleen weight","76261"
"1110032A03Rik","Mean platelet volume","68721"
"1110059G10Rik","Transitional vertebrae|Insulin","66202"
"1500009L16Rik","Insulin|Hematocrit|Cue Baseline % Freezing Time|Fat mass|Calcium|Total holepokes|Alkaline phosphatase","69784"
"1500011B03Rik","Calcium|Red blood cell distribution width","66236"
"1600029I14Rik","Epididymis|Kidney","69797"
"1700001O22Rik","Vitreous|Synechia|Retinal Blood Vessels Pattern|Distance travelled - total|Whole arena resting time|Optic Disc|Periphery distance travelled|Whole arena average speed|Fusion between cornea and lens|Total protein|Periphery average speed|Lens Opacity|Retinal Blood Vessels|Total holepokes|Lens|Retinal Blood Vessels Structure|Persistence of hyaloid vascular system","73598"
"1700003F12Rik","Heart Morphology|Embryo Size","75480"
"1700007K13Rik","Forelimb grip strength measurement mean|Glucose","69327"
"1700008O03Rik","Ventral coat/hair presence|Hematocrit|Bone Mineral Content (excluding skull)|Bone Mineral Density (excluding skull)","69349"
"1700008P02Rik","Lean mass|Bone Mineral Density (excluding skull)|Fat/Body weight|Lean/Body weight|Fat mass|Heart weight|Body length","69347"
"1700012B09Rik","Skin color - tail","69325"
"1700016H13Rik","Body Temp","74218"
"1700016K19Rik","Whole arena average speed|Periphery average speed|Light sleep bout lengths standard deviation|Time mobile dark side|Whole arena resting time|Breath rate during sleep mean|Sleep bout lengths standard deviation|Distance travelled - total|Dark sleep bout lengths standard deviation","74230"
"1700019D03Rik","Forelimb grip strength measurement mean|Fasted blood glucose concentration|Mean corpuscular hemoglobin|Platelet count|Lymph node","67080"
"1700021F07Rik","Activity (body position)|Contact righting","72221"
"1700025G04Rik","Spleen|Lymph node|Heart|Eye with optic nerve|Alanine aminotransferase|Vocalization","69399"
"1700029H14Rik","White blood cell count","66501"
"1700029I15Rik","Red blood cell count|Insulin|Skin|Gross Findings Male|Hematocrit","75641"
"1700034E13Rik","Liver|Spleen|Kidney|Lymph node|Eye with optic nerve|Center resting time|Stomach|Alkaline phosphatase|Ovary|Skin|Seminal vesicle","78414"
"1700037C18Rik","Spleen weight|Bone Mineral Content (excluding skull)|Body length|Fat mass|Insulin","73261"
"1700067K01Rik","Urea (Blood Urea Nitrogen - BUN)|Viability Outcome","73453"
"1700069L16Rik","Fat mass","381707"
"1700086L19Rik","Whole arena average speed|Lean/Body weight|Distance travelled - total|Center distance travelled|Periphery distance travelled|% Pre-pulse inhibition - PPI1|HRV|BMC/Body weight","74284"
"1700088E04Rik","Retina (combined)","27660"
"1700093K21Rik","Time mobile light side|Distance travelled - total|Whole arena resting time|Whole arena average speed|Forelimb and hindlimb grip strength normalised against body weight","67358"
"1700123O20Rik","Alkaline phosphatase","58248"
"1700125H20Rik","Calcium","73634"
"2210010C04Rik","Retinal Blood Vessels|Alanine aminotransferase","67373"
