"marker_symbol","impc_significant_procedure_name","gene_id"
"0610009B22Rik","Eye Morphology|Acoustic Startle and Pre-pulse Inhibition (PPI)","66050"
"0610010K14Rik","Viability Primary Screen","104457"
"0610040J01Rik","Gross Pathology and Tissue Collection|Hematology|Clinical Chemistry|Organ Weight","76261"
"1110032A03Rik","Hematology","68721"
"1110059G10Rik","X-ray|Insulin Blood Level","66202"
"1500009L16Rik","Insulin Blood Level|Hematology|Fear Conditioning|Body Composition (DEXA lean/fat)|Clinical Chemistry|Hole-board Exploration","69784"
"1500011B03Rik","Clinical Chemistry|Hematology","66236"
"1600029I14Rik","Gross Pathology and Tissue Collection","69797"
"1700001O22Rik","Eye Morphology|Open Field - centre start|Clinical Chemistry|Hole-board Exploration","73598"
"1700003F12Rik","Gross Morphology Embryo E14.5-E15.5","75480"
"1700007K13Rik","Grip Strength|Clinical Chemistry","69327"
"1700008O03Rik","Combined SHIRPA and Dysmorphology|Hematology|Body Composition (DEXA lean/fat)","69349"
"1700008P02Rik","Body Composition (DEXA lean/fat)|Heart Weight","69347"
"1700012B09Rik","Combined SHIRPA and Dysmorphology","69325"
"1700016H13Rik","Echo","74218"
"1700016K19Rik","Open Field - centre start|Sleep Wake|Light-Dark Test","74230"
"1700019D03Rik","Grip Strength|Intraperitoneal glucose tolerance test (IPGTT)|Hematology|Gross Pathology and Tissue Collection","67080"
"1700021F07Rik","Combined SHIRPA and Dysmorphology","72221"
"1700025G04Rik","Gross Pathology and Tissue Collection|Clinical Chemistry|Combined SHIRPA and Dysmorphology","69399"
"1700029H14Rik","Hematology","66501"
"1700029I15Rik","Hematology|Insulin Blood Level|Gross Pathology and Tissue Collection|Fertility of Homozygous Knock-out Mice","75641"
"1700034E13Rik","Gross Pathology and Tissue Collection|Open Field|Clinical Chemistry","78414"
"1700037C18Rik","Organ Weight|Body Composition (DEXA lean/fat)|Insulin Blood Level","73261"
"1700067K01Rik","Clinical Chemistry|Viability Primary Screen","73453"
"1700069L16Rik","Body Composition (DEXA lean/fat)","381707"
"1700086L19Rik","Open Field - centre start|Body Composition (DEXA lean/fat)|Acoustic Startle and Pre-pulse Inhibition (PPI)|Electrocardiogram (ECG)","74284"
"1700088E04Rik","Eye Morphology","27660"
"1700093K21Rik","Light-Dark Test|Open Field - centre start|Grip Strength","67358"
"1700123O20Rik","Clinical Chemistry","58248"
"1700125H20Rik","Clinical Chemistry","73634"
"2210010C04Rik","Eye Morphology|Clinical Chemistry","67373"
"2210408I21Rik","Body Composition (DEXA lean/fat)|Gross Pathology and Tissue Collection|Intraperitoneal glucose tolerance test (IPGTT)|Organ Weight","72371"
"2310039H08Rik","Open Field","67101"
"2510002D24Rik","Acoustic Startle and Pre-pulse Inhibition (PPI)|Gross Pathology and Tissue Collection","72307"
"2510009E07Rik","Combined SHIRPA and Dysmorphology|Immunophenotyping|Gross Pathology and Tissue Collection|Heart Weight","72190"
"2610008E11Rik","Gross Pathology and Tissue Collection|Fear Conditioning","72128"
"2610301B20Rik","Acoustic Startle and Pre-pulse Inhibition (PPI)","67157"
"2610318N02Rik","Insulin Blood Level|Body Composition (DEXA lean/fat)|Clinical Chemistry","70458"
"2610507B11Rik","Viability E12.5 Secondary Screen|Viability Primary Screen|Heart Weight|Acoustic Startle and Pre-pulse Inhibition (PPI)|Eye Morphology","72503"
"2610509F24Rik","Body Composition (DEXA lean/fat)","69915"
"2700054A10Rik","Gross Pathology and Tissue Collection","72578"
"2700097O09Rik","Gross Pathology and Tissue Collection|Combined SHIRPA and Dysmorphology|Viability Primary Screen|Organ Weight","72658"
"2810001G20Rik","Viability Primary Screen","66456"
"3300002A11Rik","Hematology","100503812"
"3425401B19Rik","Immunophenotyping|Grip Strength|Clinical Chemistry|Hematology","100504518"
"3830406C13Rik","Body Composition (DEXA lean/fat)|Insulin Blood Level|Hematology","218734"
"4833420G17Rik","Hematology|Gross Pathology and Tissue Collection|Body Composition (DEXA lean/fat)","67392"
"4921509C19Rik","Body Composition (DEXA lean/fat)","381393"
"4921536K21Rik","Body Composition (DEXA lean/fat)|Clinical Chemistry|Hematology|Grip Strength","67430"
"4930404H24Rik","Body Composition (DEXA lean/fat)|Clinical Chemistry|Hematology","78151"
"4930432K21Rik","Open Field - centre start|Intraperitoneal glucose tolerance test (IPGTT)","74666"
"4930451I11Rik","Body Composition (DEXA lean/fat)|Fertility of Homozygous Knock-out Mice","78118"
"4930505A04Rik","Combined SHIRPA and Dysmorphology|Clinical Chemistry","75087"
"4930524B15Rik","Gross Pathology and Tissue Collection|Open Field","67592"
"4930563E22Rik","Intraperitoneal glucose tolerance test (IPGTT)","75304"
"4930590J08Rik","Fertility of Homozygous Knock-out Mice","381798"
