Leading proteins,Protein,Protein names,Gene names
A2CF80,A2CF80,Chromatin complexes subunit BAP18,0610010K14Rik;Bap18
G5E8X1,G5E8X1,UPF0585 protein C16orf13 homolog,0610011F06Rik
E0CYV9,E0CYV9,,1110002E22Rik
E0CYV9,E0CYV9,,1110002E22Rik
E0CYV9,E0CYV9,,1110002E22Rik
E0CYV9,E0CYV9,,1110002E22Rik
E0CYV9,E0CYV9,,1110002E22Rik
E0CYV9,E0CYV9,,1110002E22Rik
E0CYV9,E0CYV9,,1110002E22Rik
E0CYV9,E0CYV9,,1110002E22Rik
D6RI64,D6RI64,Small acidic protein,1110004F10Rik;Smap
D6RI64,D6RI64,Small acidic protein,1110004F10Rik;Smap
E9PZY8,E9PZY8,Protein virilizer homolog,1110037F02Rik;Kiaa1429
E9PZY8,E9PZY8,Protein virilizer homolog,1110037F02Rik;Kiaa1429
E9PZY8,E9PZY8,Protein virilizer homolog,1110037F02Rik;Kiaa1429
E9Q9Y3,E9Q9Y3,,1700008F21Rik
E9Q9Y3,E9Q9Y3,,1700008F21Rik
A0A087WS57,A0A087WS57,,1700012B09Rik
A0A087WS57,A0A087WS57,,1700012B09Rik
A0A087WS57,A0A087WS57,,1700012B09Rik
A0A087WQP6,A0A087WQP6,,1700017N19Rik
D3Z316,D3Z316,Uncharacterized protein C6orf203 homolog,1700021F05Rik
D3Z7B1,D3Z7B1,Run domain Beclin-1 interacting and cysteine-rich containing protein,1700021K19Rik;Kiaa0226
D3Z7B1,D3Z7B1,Run domain Beclin-1 interacting and cysteine-rich containing protein,1700021K19Rik;Kiaa0226
D3Z7B1,D3Z7B1,Run domain Beclin-1 interacting and cysteine-rich containing protein,1700021K19Rik;Kiaa0226
D3Z7B1,D3Z7B1,Run domain Beclin-1 interacting and cysteine-rich containing protein,1700021K19Rik;Kiaa0226
E9PZ08,E9PZ08,Uncharacterized protein C1orf168 homolog,1700024P16Rik
D6RG65,D6RG65,Protein-glutamate O-methyltransferase,1700052N19Rik;Armt1
D3Z7G3,D3Z7G3,Uncharacterized protein C10orf35 homolog,2010107G23Rik
E9Q3M9,E9Q3M9,,2010300C02Rik
E9Q3M9,E9Q3M9,,2010300C02Rik
E9Q3M9,E9Q3M9,,2010300C02Rik
E9Q3M9,E9Q3M9,,2010300C02Rik
E9Q3M9,E9Q3M9,,2010300C02Rik
A0A087WPA4,A0A087WPA4,Uncharacterized protein C19orf47 homolog,2310022A10Rik
A0A087WPA4,A0A087WPA4,Uncharacterized protein C19orf47 homolog,2310022A10Rik
A0A087WPA4,A0A087WPA4,Uncharacterized protein C19orf47 homolog,2310022A10Rik
A0A087WPA4,A0A087WPA4,Uncharacterized protein C19orf47 homolog,2310022A10Rik
A0A087WPA4,A0A087WPA4,Uncharacterized protein C19orf47 homolog,2310022A10Rik
A0A087WRM8,A0A087WRM8,LisH domain and HEAT repeat-containing protein KIAA1468,2310035C23Rik;Kiaa1468
